user,restaurant,IntDegree
LacrP7ZyHmBV98cvSpzy3Q,9Ea08nF_FMdQ6pOR71lzWA,32
LacrP7ZyHmBV98cvSpzy3Q,AJzAGI8MwEsDLA7qT4V3xg,8
LacrP7ZyHmBV98cvSpzy3Q,cqbUQADGJCByLzJCX9eDHA,4
LacrP7ZyHmBV98cvSpzy3Q,dDpupMA39tzwreqRc47l2w,32
LacrP7ZyHmBV98cvSpzy3Q,euYxK_Z-DuVrEl74arXqkg,32
LacrP7ZyHmBV98cvSpzy3Q,fE10Mv8RxzNj_MlJ7I0Tew,33
LacrP7ZyHmBV98cvSpzy3Q,fm7Cz3HNalWdh-SVYkYjCw,32
LacrP7ZyHmBV98cvSpzy3Q,HYnTvmpQyWRQoZ5jNoUuKA,33
LacrP7ZyHmBV98cvSpzy3Q,jEnRpqluA719LQjVbqMjfQ,33
LacrP7ZyHmBV98cvSpzy3Q,jT94qGemyMF8O_jcQyGOFg,32
LacrP7ZyHmBV98cvSpzy3Q,JVndsGqjkUNv0sJekfsCrA,7
LacrP7ZyHmBV98cvSpzy3Q,L2FwwSp0bYiVe3ORMijOKw,33
LacrP7ZyHmBV98cvSpzy3Q,nzwE5Qm8BUPdjIktC1xWmQ,33
LacrP7ZyHmBV98cvSpzy3Q,pg2-pj_qzjw4LsyZCiGBtw,33
LacrP7ZyHmBV98cvSpzy3Q,rRBP1l5Hq-85O-9kCVZC4Q,33
LacrP7ZyHmBV98cvSpzy3Q,tRfNfEO4zcoPiMW85GUqIA,32
LacrP7ZyHmBV98cvSpzy3Q,TYlqckWL4-uWeUDe-NmExg,32
LacrP7ZyHmBV98cvSpzy3Q,uMYJH0jJ75TIfMWzyMYBjA,33
LacrP7ZyHmBV98cvSpzy3Q,V0SNE_bpiuk-rbERvpmqbA,33
LacrP7ZyHmBV98cvSpzy3Q,vmbRKLQMlWYcD2-5lketpA,32
LacrP7ZyHmBV98cvSpzy3Q,X2nMg3CeWYBj_JuTLuPyjQ,32
LacrP7ZyHmBV98cvSpzy3Q,Y3qnq-yvDkIvYs-GHEnj3A,33
LacrP7ZyHmBV98cvSpzy3Q,yaGdSH6rp9yBcAMHm_p3qg,4
LacrP7ZyHmBV98cvSpzy3Q,zBNxUOJODRyv-IYjBbMEcA,33
nE3aRSnqnvUPfVhd4Pbcmg,=-KfR4WkBLCdy0ISb2Lf-kA',44
nE3aRSnqnvUPfVhd4Pbcmg,5bpYzbpNuWOOGzz-cxiNdg,45
nE3aRSnqnvUPfVhd4Pbcmg,9Ea08nF_FMdQ6pOR71lzWA,45
nE3aRSnqnvUPfVhd4Pbcmg,A9Bahp1qqbHF1LaxVEuuOA,45
nE3aRSnqnvUPfVhd4Pbcmg,AcCNddTxcgxJwLfX4XrTYw,44
nE3aRSnqnvUPfVhd4Pbcmg,dDpupMA39tzwreqRc47l2w,45
nE3aRSnqnvUPfVhd4Pbcmg,euYxK_Z-DuVrEl74arXqkg,44
nE3aRSnqnvUPfVhd4Pbcmg,fE10Mv8RxzNj_MlJ7I0Tew,45
nE3aRSnqnvUPfVhd4Pbcmg,fm7Cz3HNalWdh-SVYkYjCw,44
nE3aRSnqnvUPfVhd4Pbcmg,gwYa8tx68Y9Yy_QsOWmOZw,45
nE3aRSnqnvUPfVhd4Pbcmg,nSn7tandULvO_oXW5gIEFw,5
nE3aRSnqnvUPfVhd4Pbcmg,nzwE5Qm8BUPdjIktC1xWmQ,44
nE3aRSnqnvUPfVhd4Pbcmg,ohDY0C6RHwaYmqnVUKP11g,45
nE3aRSnqnvUPfVhd4Pbcmg,r-h-N5QyjFItF65QxEV7BQ,44
nE3aRSnqnvUPfVhd4Pbcmg,r2Lqj8JhaPXKc5_PoCtiaA,45
nE3aRSnqnvUPfVhd4Pbcmg,rcNvRKR0kXyQ7ebwm63E8w,45
nE3aRSnqnvUPfVhd4Pbcmg,rRBP1l5Hq-85O-9kCVZC4Q,45
nE3aRSnqnvUPfVhd4Pbcmg,SKzDVGXgoXC82gVC4n7A0A,44
nE3aRSnqnvUPfVhd4Pbcmg,SNOQJ5PLTN83dEduN23FGw,45
nE3aRSnqnvUPfVhd4Pbcmg,V0SNE_bpiuk-rbERvpmqbA,44
nE3aRSnqnvUPfVhd4Pbcmg,V5BGw8p0P0kR6iGIud1QcA,45
nE3aRSnqnvUPfVhd4Pbcmg,X2nMg3CeWYBj_JuTLuPyjQ,45
nE3aRSnqnvUPfVhd4Pbcmg,xLhhIULkYiiz7vA5SK8XOw,45
nE3aRSnqnvUPfVhd4Pbcmg,Y3qnq-yvDkIvYs-GHEnj3A,45
nE3aRSnqnvUPfVhd4Pbcmg,yaGdSH6rp9yBcAMHm_p3qg,5
opgi5kAnDjn7uoVX6VkZqQ,__VxLjL-dxcIDL7OshNL1g,3
opgi5kAnDjn7uoVX6VkZqQ,=-KfR4WkBLCdy0ISb2Lf-kA',43
opgi5kAnDjn7uoVX6VkZqQ,2gZr3nLCl9DP4LCRLswXKQ,42
opgi5kAnDjn7uoVX6VkZqQ,4iBA5oAMGKZ9RlCtJ_Dz-Q,3
opgi5kAnDjn7uoVX6VkZqQ,5bpYzbpNuWOOGzz-cxiNdg,43
opgi5kAnDjn7uoVX6VkZqQ,5TCiJVqyIdBjZyQs4mlCyw,8
opgi5kAnDjn7uoVX6VkZqQ,6FH0wDibmWq2HmPGcNTIIg,5
opgi5kAnDjn7uoVX6VkZqQ,9Ea08nF_FMdQ6pOR71lzWA,43
opgi5kAnDjn7uoVX6VkZqQ,A9Bahp1qqbHF1LaxVEuuOA,43
opgi5kAnDjn7uoVX6VkZqQ,AJzAGI8MwEsDLA7qT4V3xg,8
opgi5kAnDjn7uoVX6VkZqQ,cqbUQADGJCByLzJCX9eDHA,7
opgi5kAnDjn7uoVX6VkZqQ,EM-B4XOgZBKO1IMC3KAGew,6
opgi5kAnDjn7uoVX6VkZqQ,euYxK_Z-DuVrEl74arXqkg,43
opgi5kAnDjn7uoVX6VkZqQ,jEnRpqluA719LQjVbqMjfQ,43
opgi5kAnDjn7uoVX6VkZqQ,JVndsGqjkUNv0sJekfsCrA,8
opgi5kAnDjn7uoVX6VkZqQ,NG9fdHGbJ6_nngLofklwgw,6
opgi5kAnDjn7uoVX6VkZqQ,nzwE5Qm8BUPdjIktC1xWmQ,43
opgi5kAnDjn7uoVX6VkZqQ,O0HXf77RFN_zkcyzjUokgg,5
opgi5kAnDjn7uoVX6VkZqQ,SKzDVGXgoXC82gVC4n7A0A,42
opgi5kAnDjn7uoVX6VkZqQ,sMz-2Aen-L93xN5hy0fIMQ,42
opgi5kAnDjn7uoVX6VkZqQ,tRfNfEO4zcoPiMW85GUqIA,43
opgi5kAnDjn7uoVX6VkZqQ,ttbVjcWKX_FDFb48JTV7Tw,4
opgi5kAnDjn7uoVX6VkZqQ,V0SNE_bpiuk-rbERvpmqbA,43
opgi5kAnDjn7uoVX6VkZqQ,WRQL86IPBomo_LjVpbpCdg,43
opgi5kAnDjn7uoVX6VkZqQ,X2nMg3CeWYBj_JuTLuPyjQ,43
opgi5kAnDjn7uoVX6VkZqQ,x5znKYoSpLq9uGvmpj02aw,3
opgi5kAnDjn7uoVX6VkZqQ,xLhhIULkYiiz7vA5SK8XOw,42
opgi5kAnDjn7uoVX6VkZqQ,zBNxUOJODRyv-IYjBbMEcA,42
opgi5kAnDjn7uoVX6VkZqQ,zHjkN5ZDFnWI3t1llNAFqQ,7
YY7eQWLK3dOLQWlM3ATkGg,=-QZKXk3LmIy9CrPuZ99v0g',14
YY7eQWLK3dOLQWlM3ATkGg,3K_tEjKmnOW9rYiameaKdA,12
YY7eQWLK3dOLQWlM3ATkGg,5Dvpb4nwqstP973N0whdKA,16
YY7eQWLK3dOLQWlM3ATkGg,6FH0wDibmWq2HmPGcNTIIg,4
YY7eQWLK3dOLQWlM3ATkGg,9Ch2kAPlXkYG2oMd7g2pHw,12
YY7eQWLK3dOLQWlM3ATkGg,akFM2q0sXKe6zLkrAlHKYA,16
YY7eQWLK3dOLQWlM3ATkGg,aqy8WrS3jpPsFikiFMjbGA,14
YY7eQWLK3dOLQWlM3ATkGg,ioyxlr8pMEXxcKmlqL4q_Q,12
YY7eQWLK3dOLQWlM3ATkGg,jEnRpqluA719LQjVbqMjfQ,16
YY7eQWLK3dOLQWlM3ATkGg,jn5ISOcpWQ8ndd-fwX4v2Q,17
YY7eQWLK3dOLQWlM3ATkGg,nbEeCp-T9KdFLPT-fp5gGw,11
YY7eQWLK3dOLQWlM3ATkGg,NG9fdHGbJ6_nngLofklwgw,11
YY7eQWLK3dOLQWlM3ATkGg,O0HXf77RFN_zkcyzjUokgg,4
YY7eQWLK3dOLQWlM3ATkGg,ohDY0C6RHwaYmqnVUKP11g,17
YY7eQWLK3dOLQWlM3ATkGg,S_GZLFuCsNk3jkfZ0cGvsw,12
YY7eQWLK3dOLQWlM3ATkGg,SKzDVGXgoXC82gVC4n7A0A,16
YY7eQWLK3dOLQWlM3ATkGg,sNJRIzcqay9yJh9JU-H_UA,3
YY7eQWLK3dOLQWlM3ATkGg,SZRNy315xtbRMofpcffGSA,4
YY7eQWLK3dOLQWlM3ATkGg,ttbVjcWKX_FDFb48JTV7Tw,15
YY7eQWLK3dOLQWlM3ATkGg,TVw1AMNU_EjF-rdWqNMS1Q,11
YY7eQWLK3dOLQWlM3ATkGg,V5BGw8p0P0kR6iGIud1QcA,17
YY7eQWLK3dOLQWlM3ATkGg,Vezv1gW0Kb_2lm-w2rYukA,16
YY7eQWLK3dOLQWlM3ATkGg,wRC15i2WZRrj8TYqj9040g,17
YY7eQWLK3dOLQWlM3ATkGg,XehDQ5K8LAFPo26dVg6ANg,4
YY7eQWLK3dOLQWlM3ATkGg,zHjkN5ZDFnWI3t1llNAFqQ,11
